epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.516,1.29464,1.20881,1.6861,0.81526,0.74257,0.8248,0.48183,1.37111,1.06414,1.98959,0.0033302,0.0033302,0.0033302
2,422.805,1.34652,1.20639,1.70601,0.7672,0.71616,0.77798,0.44066,1.5433,1.26868,2.13186,0.00659756,0.00659756,0.00659756
3,632.749,1.46786,1.4276,1.81073,0.71881,0.64154,0.6589,0.32313,1.8144,1.5789,2.45025,0.00979893,0.00979893,0.00979893
4,836.232,1.53473,1.52553,1.85577,0.78068,0.67426,0.75008,0.40151,1.63542,1.30094,2.1677,0.009703,0.009703,0.009703
5,1039.97,1.46939,1.43934,1.80625,0.8059,0.70265,0.7885,0.43308,1.5669,1.20945,2.09198,0.009604,0.009604,0.009604
6,1243.65,1.41223,1.35811,1.76246,0.85214,0.7125,0.80611,0.44541,1.59022,1.13523,2.10016,0.009505,0.009505,0.009505
7,1447.45,1.38387,1.2713,1.72926,0.84278,0.7474,0.82566,0.46868,1.48738,1.04121,2.03558,0.009406,0.009406,0.009406
8,1651.93,1.35056,1.23162,1.69977,0.86133,0.75848,0.84528,0.50082,1.42383,0.97896,1.9607,0.009307,0.009307,0.009307
9,1859.37,1.32681,1.19304,1.68274,0.84211,0.76926,0.84252,0.49402,1.44023,0.96434,1.96845,0.009208,0.009208,0.009208
10,2063.63,1.30774,1.16309,1.66067,0.88096,0.76849,0.85688,0.52624,1.34914,0.91189,1.89223,0.009109,0.009109,0.009109
11,2269.04,1.27944,1.12705,1.64459,0.86094,0.78077,0.86201,0.53024,1.34859,0.88514,1.89525,0.00901,0.00901,0.00901
12,2473.61,1.26132,1.09818,1.62575,0.85833,0.80396,0.87712,0.53843,1.33366,0.86418,1.86177,0.008911,0.008911,0.008911
13,2682.58,1.24298,1.0654,1.61396,0.87723,0.82404,0.88847,0.5476,1.30414,0.80496,1.83411,0.008812,0.008812,0.008812
14,2889.79,1.23918,1.06948,1.60924,0.89425,0.79712,0.88051,0.5519,1.31793,0.80723,1.86548,0.008713,0.008713,0.008713
15,3095.19,1.22185,1.04304,1.58985,0.88977,0.80481,0.88807,0.55814,1.2877,0.80889,1.81278,0.008614,0.008614,0.008614
16,3301.09,1.21207,1.01338,1.58705,0.89803,0.80481,0.89041,0.55071,1.31051,0.80157,1.85566,0.008515,0.008515,0.008515
17,3507.69,1.19802,1.00292,1.5771,0.91189,0.79606,0.89738,0.56874,1.2735,0.76811,1.78686,0.008416,0.008416,0.008416
18,3714.31,1.19395,0.99169,1.57376,0.87891,0.83462,0.89704,0.57564,1.25883,0.73976,1.78728,0.008317,0.008317,0.008317
19,3920.31,1.17446,0.98324,1.55942,0.88291,0.83654,0.90131,0.57349,1.26023,0.74319,1.80752,0.008218,0.008218,0.008218
20,4130.84,1.17236,0.96385,1.55686,0.90141,0.83077,0.90549,0.586,1.25642,0.72055,1.77005,0.008119,0.008119,0.008119
21,4336.75,1.16459,0.94994,1.55015,0.88656,0.83654,0.9091,0.58222,1.25502,0.74401,1.78906,0.00802,0.00802,0.00802
22,4547.04,1.15073,0.93843,1.53273,0.90037,0.83077,0.90553,0.58441,1.23004,0.72989,1.74932,0.007921,0.007921,0.007921
23,4758.11,1.13203,0.9312,1.52028,0.92199,0.84094,0.91985,0.60517,1.19963,0.69127,1.72311,0.007822,0.007822,0.007822
24,4962.6,1.1241,0.90489,1.51572,0.91079,0.84423,0.91652,0.60375,1.19712,0.68618,1.72833,0.007723,0.007723,0.007723
25,5167.93,1.12138,0.9029,1.51529,0.90374,0.85962,0.91729,0.60644,1.21493,0.68396,1.72671,0.007624,0.007624,0.007624
26,5374.3,1.11659,0.89485,1.50863,0.90377,0.86635,0.92307,0.61099,1.20158,0.664,1.72144,0.007525,0.007525,0.007525
27,5580.14,1.09638,0.88305,1.48936,0.90581,0.86538,0.91667,0.61211,1.17295,0.65524,1.69173,0.007426,0.007426,0.007426
28,5792.24,1.10435,0.8717,1.49457,0.92902,0.8375,0.92109,0.61715,1.1544,0.65779,1.66829,0.007327,0.007327,0.007327
29,6004.43,1.09428,0.86584,1.48663,0.89772,0.87775,0.9213,0.61584,1.18737,0.64545,1.72076,0.007228,0.007228,0.007228
30,6208.88,1.08482,0.84991,1.47947,0.91752,0.86642,0.92746,0.61673,1.16645,0.65591,1.68349,0.007129,0.007129,0.007129
31,6413.32,1.07809,0.83624,1.47753,0.9113,0.86936,0.93043,0.62821,1.16085,0.61836,1.68345,0.00703,0.00703,0.00703
32,6618.49,1.07034,0.82692,1.4692,0.91472,0.87019,0.9265,0.62758,1.16531,0.62149,1.70062,0.006931,0.006931,0.006931
33,6822.28,1.06904,0.82473,1.4693,0.91577,0.87788,0.92327,0.62545,1.16675,0.61555,1.69353,0.006832,0.006832,0.006832
34,7027.12,1.06023,0.81896,1.4673,0.90359,0.86346,0.92866,0.63077,1.15029,0.63879,1.6791,0.006733,0.006733,0.006733
35,7231.23,1.05215,0.81688,1.45082,0.89956,0.88077,0.92593,0.63393,1.1376,0.62659,1.6593,0.006634,0.006634,0.006634
36,7435.85,1.04803,0.80041,1.45098,0.91899,0.87265,0.92917,0.63493,1.14194,0.61974,1.66732,0.006535,0.006535,0.006535
37,7639.74,1.04745,0.80212,1.44777,0.92151,0.85796,0.92847,0.63383,1.13622,0.62772,1.65113,0.006436,0.006436,0.006436
38,7843.51,1.04107,0.78715,1.44139,0.92968,0.8772,0.93157,0.63572,1.15331,0.59732,1.66886,0.006337,0.006337,0.006337
39,8050.64,1.03226,0.77317,1.43489,0.92376,0.85,0.92362,0.63404,1.14256,0.60115,1.66194,0.006238,0.006238,0.006238
40,8257.6,1.023,0.77284,1.43064,0.91039,0.85961,0.92584,0.64015,1.12978,0.61485,1.64587,0.006139,0.006139,0.006139
41,8465.38,1.01524,0.76959,1.42661,0.9139,0.88365,0.93261,0.6455,1.11985,0.59479,1.65297,0.00604,0.00604,0.00604
42,8670.16,1.0009,0.75696,1.41194,0.91254,0.88558,0.93073,0.64065,1.12681,0.59167,1.65621,0.005941,0.005941,0.005941
43,8895.29,1.01426,0.7536,1.41962,0.9305,0.87019,0.93384,0.64285,1.13248,0.58018,1.6546,0.005842,0.005842,0.005842
44,9102.41,0.99397,0.747,1.41258,0.90822,0.875,0.9326,0.64269,1.12432,0.58129,1.64562,0.005743,0.005743,0.005743
45,9313.29,0.99745,0.75038,1.40904,0.91551,0.87788,0.93164,0.65003,1.09832,0.57732,1.63062,0.005644,0.005644,0.005644
46,9522.23,0.98613,0.73283,1.39857,0.91205,0.88746,0.94009,0.6484,1.10975,0.57471,1.64086,0.005545,0.005545,0.005545
47,9730.09,0.98141,0.73963,1.40212,0.92326,0.86766,0.92989,0.6509,1.10255,0.58918,1.62752,0.005446,0.005446,0.005446
48,9950.02,0.97595,0.72639,1.3984,0.91238,0.88107,0.93186,0.64803,1.11729,0.571,1.64858,0.005347,0.005347,0.005347
49,10161.7,0.9701,0.72696,1.38614,0.9166,0.88846,0.93457,0.65532,1.09898,0.57327,1.63049,0.005248,0.005248,0.005248
50,10369.8,0.96229,0.70545,1.37879,0.90681,0.88558,0.93297,0.64998,1.11575,0.57515,1.6431,0.005149,0.005149,0.005149
51,10592.1,0.95759,0.70524,1.37949,0.92469,0.875,0.935,0.65284,1.09995,0.57727,1.63244,0.00505,0.00505,0.00505
52,10808.4,0.95297,0.69311,1.3769,0.92004,0.87409,0.93503,0.64986,1.11272,0.57317,1.64293,0.004951,0.004951,0.004951
53,11014,0.95292,0.69383,1.37674,0.91964,0.89136,0.93794,0.65581,1.10655,0.56159,1.64197,0.004852,0.004852,0.004852
54,11221.8,0.93525,0.69475,1.36851,0.91922,0.87596,0.93354,0.65095,1.11995,0.56532,1.65295,0.004753,0.004753,0.004753
55,11429.3,0.93595,0.69446,1.36433,0.91944,0.88895,0.9342,0.65454,1.10622,0.55731,1.64068,0.004654,0.004654,0.004654
